y,x_1,x_2
2,0.147727273,0.261363636
7,0.282608696,0.347826087
7,0.290322581,0.435483871
7,0.195402299,0.114942529
7,0.217948718,0.397435897
2,0.035087719,0.245614035
2,0.052631579,0.315789474
2,0.085106383,0.255319149
2,0.196078431,0.323529412
7,0.146341463,0.170731707
2,0.097222222,0.263888889
7,0.252747253,0.274725275
2,0.079545455,0.272727273
7,0.131147541,0.196721311
2,0.096491228,0.210526316
2,0.020833333,0.3125
7,0.174603175,0.19047619
2,0.12195122,0.243902439
7,0.210526316,0.473684211
2,0.054545455,0.290909091
7,0.149425287,0.367816092
2,0.149253731,0.268656716
7,0.157142857,0.242857143
2,0.107692308,0.315384615
7,0.294117647,0.284313725
7,0.183098592,0.422535211
7,0.25,0.208333333
2,0.072164948,0.144329897
2,0.192307692,0.307692308
2,0.073170732,0.317073171
2,0.23364486,0.289719626
2,0.193181818,0.215909091
2,0.142857143,0.263736264
2,0.175,0.3625
2,0.181818182,0.212121212
7,0.152542373,0.220338983
7,0.230769231,0.4
2,0.146341463,0.414634146
2,0.177777778,0.344444444
2,0.256198347,0.305785124
2,0.233333333,0.322222222
2,0.031914894,0.20212766
7,0.330578512,0.363636364
2,0.163265306,0.316326531
2,0.01459854,0.277372263
7,0.119047619,0.119047619
2,0.070175439,0.315789474
2,0.183486239,0.339449541
2,0.114583333,0.291666667
2,0.19047619,0.285714286
7,0.205128205,0.230769231
7,0.201612903,0.258064516
7,0.357142857,0.357142857
7,0.081967213,0.114754098
2,0.129032258,0.225806452
7,0.315789474,0.25
7,0.25,0.454545455
7,0.239130435,0.304347826
2,0.194690265,0.265486726
2,0.139240506,0.139240506
2,0.215686275,0.37254902
2,0.011363636,0.272727273
2,0.114583333,0.28125
7,0.205882353,0.25
2,0.194029851,0.298507463
7,0.224137931,0.155172414
2,0.112903226,0.274193548
7,0.2375,0.3625
7,0.274725275,0.362637363
7,0.247058824,0.258823529
2,0.12037037,0.296296296
7,0.14084507,0.225352113
2,0.157024793,0.388429752
2,0.085106383,0.287234043
7,0.283333333,0.5
2,0.111111111,0.25
2,0.107142857,0.3125
7,0.333333333,0.351851852
2,0.068965517,0.275862069
7,0.208333333,0.125
2,0.215909091,0.340909091
7,0.193277311,0.218487395
2,0.134615385,0.307692308
2,0.20754717,0.273584906
7,0.171428571,0.314285714
7,0.205479452,0.328767123
2,0.25,0.277777778
2,0.188888889,0.255555556
2,0.180555556,0.333333333
2,0.134920635,0.277777778
7,0.149425287,0.356321839
7,0.193548387,0.483870968
2,0.045454545,0.181818182
2,0.081081081,0.243243243
2,0.023255814,0.255813953
7,0.211267606,0.323943662
2,0.208791209,0.362637363
7,0.268292683,0.317073171
2,0.1875,0.291666667
2,0.024193548,0.258064516
2,0.060344828,0.163793103
2,0.150684932,0.273972603
7,0.092592593,0.148148148
2,0.108910891,0.267326733
2,0.180327869,0.327868852
7,0.214285714,0.214285714
7,0.256410256,0.371794872
7,0.166666667,0.333333333
2,0.102040816,0.163265306
7,0.218181818,0.218181818
2,0.242424242,0.378787879
7,0.197368421,0.184210526
7,0.221052632,0.115789474
2,0.117647059,0.294117647
7,0.336633663,0.356435644
7,0.12345679,0.197530864
7,0.344827586,0.379310345
2,0.321428571,0.214285714
7,0.188405797,0.188405797
2,0.107142857,0.196428571
7,0.219512195,0.219512195
2,0.127659574,0.276595745
2,0.064516129,0.311827957
7,0.237623762,0.277227723
2,0.043010753,0.247311828
7,0.291139241,0.316455696
7,0.225806452,0.430107527
7,0.252873563,0.229885057
2,0.151162791,0.290697674
2,0.024390244,0.292682927
2,0.082474227,0.24742268
2,0,0.255319149
7,0.127272727,0.236363636
7,0.269230769,0.480769231
2,0.125,0.339285714
2,0.090909091,0.363636364
7,0.162790698,0.488372093
7,0.25,0.277777778
7,0.20952381,0.285714286
2,0.118644068,0.355932203
7,0.279569892,0.344086022
2,0,0.290909091
7,0.346153846,0.317307692
7,0.268292683,0.219512195
7,0.169491525,0.271186441
7,0.186046512,0.186046512
2,0,0.2
2,0.13253012,0.301204819
7,0.129032258,0.419354839
7,0.25,0.27173913
2,0.169230769,0.353846154
7,0.147540984,0.229508197
2,0,0.164835165
2,0.043010753,0.301075269
2,0.074074074,0.234567901
7,0.255555556,0.277777778
2,0.072727273,0.3
2,0.162790698,0.217054264
7,0.185185185,0.314814815
7,0.115384615,0.519230769
7,0.133333333,0.12
2,0.158536585,0.37804878
7,0.269565217,0.226086957
7,0.264705882,0.294117647
2,0.170212766,0.265957447
2,0.168316832,0.287128713
7,0.23943662,0.507042254
7,0.260273973,0.246575342
2,0.24137931,0.264367816
2,0.181818182,0.212121212
7,0.180722892,0.144578313
2,0.055555556,0.291666667
2,0.116883117,0.376623377
2,0.139240506,0.35443038
2,0.181818182,0.265151515
7,0.162162162,0.216216216
7,0.23880597,0.313432836
7,0.17721519,0.189873418
2,0.120879121,0.208791209
7,0.219178082,0.260273973
2,0.096774194,0.290322581
7,0.172413793,0.224137931
7,0.214285714,0.244897959
7,0.226666667,0.173333333
2,0.173913043,0.358695652
2,0.069565217,0.234782609
2,0.054347826,0.25
7,0.323076923,0.353846154
2,0.147368421,0.252631579
7,0.272727273,0.409090909
7,0.145454545,0.527272727
2,0.089285714,0.214285714
7,0.409090909,0.340909091
2,0.164383562,0.260273973
2,0.191304348,0.339130435
7,0.325,0.325
7,0.057142857,0.142857143
7,0.203703704,0.277777778
7,0.106382979,0.29787234
2,0,0.191919192
