x,y
67.43854503,66.85001352
69.52402245,69.56397707
66.95673665,66.0925605
73.65068111,73.80060036
70.28658532,69.66559181
65.73125919,67.40785511
70.10392867,70.78385708
70.75537815,71.61884524
70.52338048,70.88785071
67.29743321,68.89328556
73.77984917,73.17673661
70.37379538,69.93584074
66.48033111,67.83911335
62.74812963,62.13082486
72.43071017,72.23397152
69.05322001,68.68056969
69.10382613,68.80025424
71.92828582,71.66349569
71.19825876,71.66708698
70.84340693,70.67517647
71.96224904,71.48225565
70.6798339,71.9539524
69.32266502,69.11909711
63.19218892,63.02184664
70.8836113,70.78856202
68.49568462,69.17177924
68.57338745,68.50359813
64.6610966,64.62539369
67.90693391,67.260254
70.39186757,70.08423778
72.99622908,73.05330229
68.97485294,68.41617857
69.89627435,70.40049592
69.56085289,68.12037779
64.77537475,65.06620107
68.49947925,67.04187496
67.97477511,67.68924409
69.0748833,68.57371298
72.56787979,71.94924836
71.28771553,71.2337385
69.4206983,67.60457749
67.69137369,68.80757863
71.85435435,70.2748228
70.86885438,70.42911083
67.48905211,66.43039735
67.26035825,66.5480688
69.08995751,71.07001755
71.26834491,71.28484784
69.27734693,68.0570551
72.38828004,70.83186497
69.96575169,70.39283667
67.19582078,67.17821337
70.1613592,69.85961304
66.09536506,65.21369471
73.95055696,72.53942821
75.37647314,74.35645616
67.43783822,68.38654885
66.20169166,65.61230633
71.34435049,70.03096786
67.7132504,69.48661519
75.91257977,76.3158654
68.99696106,68.77056055
70.54110656,71.54527175
68.66248257,69.50341693
67.0919623,66.50449677
68.5128061,70.60569866
63.77420841,63.53226853
74.01705557,72.66566128
69.52247138,69.38548189
75.33740232,75.53429048
69.31381384,71.5033544
66.84676574,66.94713867
70.5923583,71.02590543
66.26955433,66.19636062
65.44483911,65.12797809
69.8798123,69.8468683
67.31324277,68.06046331
68.0188992,69.98764948
68.7328835,69.70755355
66.68072286,67.82664538
67.89952184,66.73138587
68.13286279,69.06626808
72.38548361,72.5941226
65.18277277,63.79081718
70.51228182,71.00656739
70.06159037,69.91098253
71.45446618,72.8438957
68.46231192,67.73554273
70.30016025,69.89202555
70.23050908,69.35192447
67.47692096,67.30890539
72.38733076,72.76871262
72.78451596,72.09031869
70.68033616,71.46809732
74.27366145,73.12757349
71.15148613,70.15728082
64.53479746,65.90199971
67.78369604,66.81997851
65.17695903,65.56779256
67.77842322,67.41690273
