x,y
68.30297527,66.44187524
69.41394554,69.54029316
68.19535565,65.46259071
72.90761794,73.38170426
70.83796327,68.87420934
64.2174297,69.51929151
69.19131661,71.34143904
69.55296251,72.2834852
69.9196458,71.07220187
65.68331358,70.72984182
73.88132737,71.97411801
70.70530953,69.32037534
65.23754627,69.53439298
64.22208544,62.26999638
72.23372737,71.61158514
69.47247095,68.29404717
69.43792577,68.47794716
71.87082836,71.03348845
70.39231275,71.87487775
70.80899662,70.27700517
72.14650944,70.62863705
69.01749148,73.04660795
69.51559462,68.8718564
64.10084748,63.56217789
70.76064064,70.46006842
67.7851738,69.92317272
68.70557801,68.48488479
65.23532448,65.12242196
68.78022043,66.735239
70.57224943,69.59943862
72.43971236,72.62019368
69.61629138,67.84960792
69.2099561,70.80444468
71.13780153,66.58261928
64.96245753,65.88213111
70.22648723,65.61713776
68.42706884,67.52414046
69.63831913,68.05347942
72.83609192,70.87980758
71.06813392,70.89744359
71.4440943,65.70101602
66.57687208,70.10662201
73.30822262,68.31330531
71.14154902,69.75095781
68.88444037,65.53668006
68.28810216,66.03564516
66.8164619,73.07796154
70.97061368,71.02280054
70.63756677,66.77866518
73.75009333,68.82827672
69.35902877,70.70959007
67.43774854,67.38206904
70.36335752,69.40915239
67.45987183,64.67178538
74.95429525,70.49191432
75.75801831,72.53244142
66.54588741,69.54597382
67.21915871,65.35535862
72.55681528,68.40353474
65.84518191,71.45305378
74.60193541,75.87723654
69.25602213,68.54008083
69.20427086,72.37972
67.74311777,70.40238572
67.99778413,66.14005499
66.18134309,72.79965048
64.69312047,63.92803938
74.9443652,70.67088125
69.61476326,69.18156445
74.33330319,74.95591821
66.7734424,73.69737759
66.99680151,67.31420862
69.9012154,71.27221182
66.68887257,66.45741376
66.24396615,65.24196362
69.80928857,69.70511049
66.66683452,69.02975334
65.89000427,72.1157393
67.65205577,70.73423308
65.65651706,69.28024225
69.36954043,65.67557016
67.1729523,70.12463901
71.7308726,72.39064701
67.24253238,62.8407823
69.76158335,71.32465157
70.10316235,69.62689853
69.56513343,73.95889537
69.35882998,67.06058398
70.6066547,69.31601944
71.08310726,68.30477877
67.85614756,67.32483567
71.53511494,72.74115028
73.11243669,70.91719217
69.57364867,72.06476818
74.93483843,71.31059007
72.02296692,68.87901368
63.52157959,67.84505271
69.03438396,65.98684157
65.20040103,66.43632517
68.34168314,67.19845499
